address,points
0xA06D98bBaF40314eFfF6bb83123f0ad453F320D6,168823929
0xb992acAF2c657bA3C585fED04f6C2f1eF18C7e69,13683209
0x74F7B610938A4A0DE3904930f02B467a80328Ba9,833035
0x4AdbDA2D0242985Dc6356381a6C28f9D0dEDfcAC,697986
0x4b3A9D1eb0c516a4EDbB31eaa8b3F73014a8da7d,622177
0xe2C30701Da3b204da91Cd426A45ea4A2371c85B6,552470
0xF45b855DeF9240313Df8F89561Aece3B5b2fF5d1,344420
0xDE5edEa876705F37d5023c7088C8d91e34d4b29b,173800
0x54D39DC92F7611Cd09B6DcF99BfC251281832398,137634
0x6173e286CaD02FfA5B896E1a0E21990E737Df60C,21347
0x1b95c28C9F6007ea6455D99E3FAf4B64825C5865,18141
0x1a72A59109c254dE4954024f2bd6138D03BD9C65,8333
0x0f71056d89f16A882a8B34Ec9eb7BF638131a8ae,4447
0x1A0e629f68A406DfAB41f0b9df109FfF7279484B,3640
0x8fE8818Be346B59080c92C50ec33DdD4c00B7BD2,1820
0x76Ad03956794EF6Ab130be5C1Cb42c8c4C32d0F5,1482
0x679AE625C5FF406b648103017f505fF6bE91B0A3,1293
0x9E23F7dCD52b298984745a856eb796dC5A38962e,195
0x677c4a22CB896fbeF799D4079200820Bf66BEea0,117
0x8e9c427e499d89588d3966953E0186e25A4C015c,78
0x9aCDcC199343Acf3C0653a196fF9E9449e294880,53
0x06b82c55f318154940ff26F960d7249a27B2C32f,50
